frame_number,timestamp_ms,speed_center_of_mass,angle_left_elbow,angle_right_elbow,angle_left_shoulder,angle_right_shoulder,angle_left_hip,angle_right_hip,angle_left_knee,angle_right_knee,angle_left_ankle,angle_right_ankle,angle_upper_back,angle_lower_back,landmark_nose_x,landmark_nose_y,landmark_nose_z,landmark_nose_visibility,landmark_left_shoulder_x,landmark_left_shoulder_y,landmark_left_shoulder_z,landmark_left_shoulder_visibility,landmark_right_shoulder_x,landmark_right_shoulder_y,landmark_right_shoulder_z,landmark_right_shoulder_visibility,landmark_left_elbow_x,landmark_left_elbow_y,landmark_left_elbow_z,landmark_left_elbow_visibility,landmark_right_elbow_x,landmark_right_elbow_y,landmark_right_elbow_z,landmark_right_elbow_visibility,landmark_left_wrist_x,landmark_left_wrist_y,landmark_left_wrist_z,landmark_left_wrist_visibility,landmark_right_wrist_x,landmark_right_wrist_y,landmark_right_wrist_z,landmark_right_wrist_visibility,landmark_left_hip_x,landmark_left_hip_y,landmark_left_hip_z,landmark_left_hip_visibility,landmark_right_hip_x,landmark_right_hip_y,landmark_right_hip_z,landmark_right_hip_visibility,landmark_left_knee_x,landmark_left_knee_y,landmark_left_knee_z,landmark_left_knee_visibility,landmark_right_knee_x,landmark_right_knee_y,landmark_right_knee_z,landmark_right_knee_visibility,landmark_left_ankle_x,landmark_left_ankle_y,landmark_left_ankle_z,landmark_left_ankle_visibility,landmark_right_ankle_x,landmark_right_ankle_y,landmark_right_ankle_z,landmark_right_ankle_visibility,landmark_left_heel_x,landmark_left_heel_y,landmark_left_heel_z,landmark_left_heel_visibility,landmark_right_heel_x,landmark_right_heel_y,landmark_right_heel_z,landmark_right_heel_visibility
0,0.0,0.0,,74.86458161235208,,30.074306388378904,,173.37696765239863,,173.6228799308338,,154.23751283408296,179.99587173002027,,455.77051162719727,385.23407220840454,-0.1762406975030899,0.9999147653579712,601.6799926757812,503.3776116371155,0.08932659029960632,0.9994615912437439,613.9843940734863,540.6548023223877,-0.31330859661102295,0.9999253749847412,829.3599700927734,417.5379002094269,0.12015923112630844,0.11579911410808563,882.8360366821289,406.32843375205994,-0.25267088413238525,0.9820684790611267,750.7856941223145,295.17139434814453,-0.05958826094865799,0.20932920277118683,735.443286895752,240.8025562763214,-0.04325321689248085,0.9569361805915833,1093.4346771240234,532.4664258956909,0.1185530573129654,0.994179368019104,1109.7388458251953,571.2041115760803,-0.11843786388635635,0.9977602958679199,1394.6578216552734,512.900505065918,0.29524990916252136,0.42053475975990295,1465.678596496582,551.9469237327576,0.005920747760683298,0.953685462474823,1633.0506134033203,546.0063886642456,0.46860429644584656,0.5436493158340454,1792.2682571411133,570.6653094291687,0.13120026886463165,0.9425789713859558,1657.815170288086,574.5512509346008,0.48278573155403137,0.6416547298431396,1848.420639038086,601.8459248542786,0.13957735896110535,0.9185681939125061
1,33.34394904458598,9.781167499633295,,74.8640540714014,,29.948821242137562,,173.47362453202328,,174.05391572423775,,158.81249512564267,179.99636307367982,,457.13985443115234,381.7308282852173,-0.1451994776725769,0.9999194145202637,602.8209114074707,497.7851414680481,0.13143925368785858,0.999464213848114,614.963321685791,540.6575703620911,-0.3083800673484802,0.9999266862869263,829.3332481384277,413.86123538017273,0.1383279263973236,0.1222369447350502,882.6494407653809,407.2637093067169,-0.24996496737003326,0.9824079871177673,726.5420150756836,267.86941409111023,-0.05886535346508026,0.22007514536380768,735.4382514953613,241.59574449062347,-0.017297422513365746,0.9569920301437378,1093.4090423583984,532.4390995502472,0.1250109225511551,0.9944329857826233,1109.7452545166016,570.5794358253479,-0.12489904463291168,0.9978562593460083,1402.752799987793,515.0631809234619,0.2953038811683655,0.42901602387428284,1467.7619934082031,551.4052891731262,-0.0308279637247324,0.9553495645523071,1656.8843078613281,551.0576105117798,0.4565807580947876,0.5558645129203796,1795.6267547607422,567.90203332901,0.04553549364209175,0.945529580116272,1677.3319244384766,584.1208791732788,0.4690224230289459,0.6496945023536682,1862.201042175293,597.6374745368958,0.04826700687408447,0.9221670031547546
2,66.68789808917197,9.073242811781869,,75.35718191482167,,30.029635955954554,,173.03946367391,,172.8868319859616,,158.82042343150138,179.99649467801893,,457.18339920043945,377.86426305770874,-0.13931918144226074,0.9999228715896606,604.1336631774902,495.8002960681915,0.1397433876991272,0.9994706511497498,614.9594879150391,540.7465982437134,-0.3076379895210266,0.9999274015426636,830.3421592712402,412.94559359550476,0.13723459839820862,0.12760871648788452,880.8120346069336,407.37964510917664,-0.24988789856433868,0.9826601147651672,721.9915580749512,266.53542816638947,-0.06992468237876892,0.22864371538162231,735.2728271484375,241.62133276462555,-0.00877372920513153,0.9569768309593201,1093.4054946899414,532.4334669113159,0.12781065702438354,0.994687557220459,1109.6169662475586,570.0363850593567,-0.12771345674991608,0.9979202747344971,1411.5519332885742,518.42644572258,0.2875736653804779,0.4345485270023346,1470.1780700683594,547.5294542312622,-0.02603519707918167,0.9561012387275696,1675.2660369873047,558.6157751083374,0.4333184063434601,0.5648767948150635,1799.2518997192383,567.8945016860962,0.06788873672485352,0.9475888013839722,1727.2974014282227,595.844235420227,0.4445003569126129,0.6559895277023315,1866.0519790649414,598.6485815048218,0.07302670180797577,0.9246450662612915
3,100.03184713375795,7.90546123182804,,75.15933210259641,,29.99744186757006,,172.8307541488609,,172.2566096892215,,159.07345020186358,179.99640923266247,,459.0242099761963,377.94482588768005,-0.1391068547964096,0.9999232888221741,603.9428329467773,496.89457297325134,0.13607057929039001,0.9994713068008423,614.6230316162109,540.7442164421082,-0.3072252869606018,0.9999261498451233,828.134937286377,410.37707805633545,0.14024116098880768,0.1323072910308838,880.2753639221191,407.4026906490326,-0.24783115088939667,0.9827136993408203,718.4077835083008,263.6280208826065,-0.058261848986148834,0.23572106659412384,735.2917098999023,243.497194647789,-0.0020242161117494106,0.9567831754684448,1093.117561340332,532.4911451339722,0.12793712317943573,0.9948679804801941,1109.6088409423828,569.6623134613037,-0.12783361971378326,0.9979328513145447,1412.9578399658203,518.3734667301178,0.27327147126197815,0.4364403486251831,1470.1454544067383,545.5530095100403,-0.020864807069301605,0.9555857181549072,1672.6379013061523,559.8444628715515,0.4083821177482605,0.5666386485099792,1796.5919494628906,567.9091143608093,0.08111991733312607,0.9481518864631653,1727.9304885864258,598.5587811470032,0.4188266396522522,0.6589450836181641,1865.8891296386719,599.9938488006592,0.0873657763004303,0.9260171055793762
4,133.37579617834393,6.376783079578775,,74.91278976962711,,30.125679568476986,,172.69057011171836,,171.91363592313175,,158.44963090318615,179.99645457059893,,461.89687728881836,378.0520713329315,-0.13517309725284576,0.9999231100082397,604.0893745422363,497.18756675720215,0.1392558068037033,0.9994676113128662,614.6240043640137,541.6657161712646,-0.30579450726509094,0.9999246597290039,826.8166351318359,409.7512114048004,0.139851912856102,0.13503913581371307,880.1779174804688,407.33638644218445,-0.24512606859207153,0.9827948808670044,715.9259033203125,263.774533867836,-0.0604294016957283,0.24020153284072876,734.5896148681641,245.18711507320404,0.002802085131406784,0.956619143486023,1093.1890869140625,534.1085171699524,0.12774686515331268,0.9950549006462097,1109.673843383789,570.152063369751,-0.12763911485671997,0.9979249238967896,1416.3951873779297,519.0900349617004,0.2536526620388031,0.4385915994644165,1471.494026184082,544.748797416687,-0.018860025331377983,0.9552062153816223,1682.618293762207,561.8595314025879,0.37385809421539307,0.5692396759986877,1796.2874221801758,567.8607058525085,0.08432051539421082,0.9484543204307556,1738.9213943481445,599.9137687683105,0.38248148560523987,0.661695659160614,1864.8835372924805,600.7567977905273,0.09063597768545151,0.9269507527351379
5,166.71974522292993,26.492490913898543,,74.75455038022871,,30.035133316701373,,172.6460666152106,,171.84695325099716,,157.2214485609746,179.99646481652434,,464.633731842041,379.942706823349,-0.13097074627876282,0.9999231696128845,604.0250015258789,499.03961062431335,0.13948886096477509,0.9994518160820007,614.5599746704102,543.6538124084473,-0.300697386264801,0.9999222755432129,826.6769027709961,412.21676230430603,0.14093083143234253,0.13592132925987244,879.9861717224121,409.0994346141815,-0.24261794984340668,0.9826384782791138,716.876049041748,264.98151183128357,-0.05849460884928703,0.24278059601783752,734.4160652160645,248.14967393875122,0.0012085658963769674,0.9556750655174255,1094.0702819824219,536.1660075187683,0.1274450421333313,0.9951825737953186,1111.3690567016602,571.0209059715271,-0.12733867764472961,0.9979324340820312,1418.6357116699219,519.3105447292328,0.25912222266197205,0.44418296217918396,1472.7442932128906,544.477207660675,-0.019324643537402153,0.9558906555175781,1686.6554260253906,561.3784718513489,0.3891381621360779,0.5760003328323364,1796.4427185058594,566.8405222892761,0.07666153460741043,0.9496243000030518,1737.1685028076172,600.5155277252197,0.3987923562526703,0.6667020320892334,1865.573844909668,601.6562175750732,0.0820871964097023,0.9282857179641724
6,200.0636942675159,58.28647296579735,,74.39333083122786,,30.187097650089758,,172.39173069518728,,171.6225871099046,,156.33430707568093,179.99623852571466,,466.4914798736572,382.39081263542175,-0.13233637809753418,0.9999223947525024,604.0409088134766,502.4133360385895,0.13544514775276184,0.9994460344314575,614.5868110656738,544.1860485076904,-0.2993980348110199,0.9999191761016846,826.7159843444824,412.9037833213806,0.14510633051395416,0.13755695521831512,879.9897193908691,409.092321395874,-0.2402745932340622,0.982412576675415,716.813907623291,266.2260675430298,-0.034843090921640396,0.24706028401851654,733.9705467224121,250.20523309707642,0.003018180374056101,0.9550313949584961,1096.966781616211,537.6452028751373,0.12729263305664062,0.9953157901763916,1114.500846862793,572.2264194488525,-0.12718768417835236,0.9979056715965271,1423.798713684082,519.2545080184937,0.2526920735836029,0.444408118724823,1474.9552917480469,544.5043087005615,-0.01146379578858614,0.9546961784362793,1691.6923141479492,561.2514638900757,0.3765888214111328,0.5757291913032532,1796.1029434204102,566.8458008766174,0.10326138883829117,0.9485777020454407,1742.0753860473633,601.3727831840515,0.38594233989715576,0.6692405939102173,1865.456199645996,603.1725239753723,0.11210223287343979,0.9276256561279297
7,233.40764331210192,67.23138011916934,,74.31781966476589,,30.27933721981254,,172.04300511732944,,171.34580735867308,,155.75764347940543,179.99603395619081,,467.34131813049316,385.63472986221313,-0.12443801015615463,0.9999176263809204,603.6624526977539,505.3037488460541,0.1404709666967392,0.9994284510612488,614.5507049560547,544.6874499320984,-0.2943345606327057,0.9999138712882996,826.7800140380859,416.4283347129822,0.14876540005207062,0.1378539502620697,879.9693489074707,409.6257483959198,-0.2368718534708023,0.9820095300674438,717.3432540893555,267.9047226905823,-0.033162932842969894,0.25079765915870667,733.9686012268066,251.14025115966797,0.005729944445192814,0.9542251825332642,1096.9513320922852,541.0324788093567,0.12696123123168945,0.9952981472015381,1114.4801330566406,573.5962128639221,-0.12684184312820435,0.9977979063987732,1425.4189682006836,520.6539452075958,0.23886482417583466,0.4426688849925995,1475.4081344604492,544.2553782463074,-0.02257678471505642,0.9528510570526123,1694.1943359375,560.8500337600708,0.3530326783657074,0.572296679019928,1797.5407791137695,566.8188285827637,0.0739111378788948,0.9460839629173279,1748.525390625,601.8481135368347,0.3607879877090454,0.6657829880714417,1865.2667999267578,603.2078647613525,0.08025215566158295,0.9251279830932617
8,266.75159235668787,60.17954091433581,,74.27470859124541,,30.29218118624472,,171.84668334011096,,171.13207042867566,,155.6168353411853,179.99576961964308,,467.47982025146484,385.97986578941345,-0.12171211838722229,0.99991375207901,603.618278503418,508.1194245815277,0.14347591996192932,0.9994105100631714,614.9327659606934,544.7182846069336,-0.2924725115299225,0.9999086856842041,826.076717376709,418.23248505592346,0.15478594601154327,0.13792654871940613,880.114688873291,409.6245574951172,-0.23659202456474304,0.9817646145820618,717.5709342956543,268.27398240566254,-0.024439150467514992,0.25310248136520386,734.0503692626953,251.45424664020538,0.00466639781370759,0.953384518623352,1096.776351928711,544.2591762542725,0.1267573982477188,0.9953535199165344,1114.4479751586914,573.4865856170654,-0.12663860619068146,0.9977737665176392,1426.9013214111328,524.0291833877563,0.2401880919933319,0.4415387809276581,1475.9920120239258,542.7636623382568,-0.032620228826999664,0.9521290063858032,1702.174072265625,561.9716691970825,0.3560096025466919,0.5722142457962036,1801.7929458618164,565.6074571609497,0.050971534103155136,0.9456832408905029,1756.055030822754,601.2034821510315,0.36388280987739563,0.6639623045921326,1868.3323287963867,601.5760731697083,0.055427782237529755,0.9245854020118713
9,300.09554140127386,54.43264623640932,,74.0705811427168,,30.25203356935063,,171.95841585516757,,171.099660762286,,154.4137836453295,179.99508559775614,,467.69476890563965,386.20571851730347,-0.11723794788122177,0.9999071359634399,603.7066841125488,513.9681315422058,0.14642982184886932,0.9993954300880432,615.7331657409668,544.6727728843689,-0.2891775369644165,0.9999043345451355,826.0557746887207,421.195832490921,0.17046628892421722,0.13860797882080078,880.9438705444336,409.58802580833435,-0.23391862213611603,0.9815124273300171,718.000373840332,268.35229218006134,0.013025677762925625,0.2562512159347534,734.5945358276367,252.21520006656647,0.005703664850443602,0.9531170725822449,1096.1274719238281,547.6423001289368,0.1267128586769104,0.9953640103340149,1114.3500137329102,573.0742120742798,-0.12658871710300446,0.9977394342422485,1427.9932022094727,526.6843771934509,0.24014504253864288,0.43844878673553467,1476.2998580932617,542.7980375289917,-0.03630105406045914,0.9511325359344482,1706.8791961669922,563.4298467636108,0.3561273217201233,0.5707882046699524,1803.9238357543945,566.3906192779541,0.048038795590400696,0.9454231858253479,1762.55126953125,601.3966655731201,0.3640178143978119,0.6620444059371948,1869.924430847168,604.0443921089172,0.05270456522703171,0.9243869185447693
