frame_number,timestamp_ms,speed_center_of_mass,angle_left_elbow,angle_right_elbow,angle_left_shoulder,angle_right_shoulder,angle_left_hip,angle_right_hip,angle_left_knee,angle_right_knee,angle_left_ankle,angle_right_ankle,angle_upper_back,angle_lower_back,landmark_nose_x,landmark_nose_y,landmark_nose_z,landmark_nose_visibility,landmark_left_shoulder_x,landmark_left_shoulder_y,landmark_left_shoulder_z,landmark_left_shoulder_visibility,landmark_right_shoulder_x,landmark_right_shoulder_y,landmark_right_shoulder_z,landmark_right_shoulder_visibility,landmark_left_elbow_x,landmark_left_elbow_y,landmark_left_elbow_z,landmark_left_elbow_visibility,landmark_right_elbow_x,landmark_right_elbow_y,landmark_right_elbow_z,landmark_right_elbow_visibility,landmark_left_wrist_x,landmark_left_wrist_y,landmark_left_wrist_z,landmark_left_wrist_visibility,landmark_right_wrist_x,landmark_right_wrist_y,landmark_right_wrist_z,landmark_right_wrist_visibility,landmark_left_hip_x,landmark_left_hip_y,landmark_left_hip_z,landmark_left_hip_visibility,landmark_right_hip_x,landmark_right_hip_y,landmark_right_hip_z,landmark_right_hip_visibility,landmark_left_knee_x,landmark_left_knee_y,landmark_left_knee_z,landmark_left_knee_visibility,landmark_right_knee_x,landmark_right_knee_y,landmark_right_knee_z,landmark_right_knee_visibility,landmark_left_ankle_x,landmark_left_ankle_y,landmark_left_ankle_z,landmark_left_ankle_visibility,landmark_right_ankle_x,landmark_right_ankle_y,landmark_right_ankle_z,landmark_right_ankle_visibility,landmark_left_heel_x,landmark_left_heel_y,landmark_left_heel_z,landmark_left_heel_visibility,landmark_right_heel_x,landmark_right_heel_y,landmark_right_heel_z,landmark_right_heel_visibility
0,0.0,0.0,,153.15883703726604,,6.273026748778537,,177.32873073115184,,167.50819807439643,,145.2826227720984,179.98153020092872,,593.4901142120361,372.01005935668945,-0.18168878555297852,0.9995003938674927,473.60161542892456,565.4230499267578,0.22427265346050262,0.9968116879463196,464.85599398612976,566.1301231384277,-0.502297580242157,0.9997496008872986,496.5255868434906,856.9881248474121,0.31039661169052124,0.032801855355501175,530.2945446968079,853.2691383361816,-0.5055626630783081,0.9675050973892212,637.0510125160217,1018.1003952026367,0.2516362965106964,0.055110637098550797,691.7497944831848,1047.8844451904297,-0.30815306305885315,0.8682361841201782,519.280321598053,1086.8870544433594,0.21323294937610626,0.9954937696456909,524.8761069774628,1087.6326370239258,-0.2135370969772339,0.9975920915603638,531.726747751236,1405.4205322265625,0.4103107154369354,0.3115041255950928,548.6884903907776,1437.4598693847656,-0.0023319607134908438,0.8577485680580139,471.083664894104,1710.5037689208984,0.6452513337135315,0.5077663660049438,497.6543354988098,1774.9974060058594,0.2526630163192749,0.8572863936424255,434.15106296539307,1759.3390274047852,0.660323977470398,0.6367483139038086,440.94215869903564,1835.1470947265625,0.27139976620674133,0.8240679502487183
1,33.34219858156028,301.69150829446414,,144.85879198559257,,7.174522006514709,,178.18526713861763,,168.3056871451635,,147.75400107947806,179.98501130804692,,594.4430923461914,370.665979385376,-0.181667760014534,0.9992884993553162,461.0871469974518,559.2125701904297,0.22668756544589996,0.9968135356903076,469.51244831085205,565.9884452819824,-0.5188870429992676,0.9997206926345825,488.98213148117065,843.3035659790039,0.30187568068504333,0.031332943588495255,539.5364499092102,865.0877952575684,-0.498759925365448,0.9668298363685608,642.5195002555847,1003.6590957641602,0.2255985140800476,0.05266797915101051,727.8058290481567,1032.7250289916992,-0.21464753150939941,0.8645652532577515,511.21222615242004,1075.2569961547852,0.214116632938385,0.9952733516693115,523.7021362781525,1081.3930892944336,-0.21441131830215454,0.9973618984222412,531.6621172428131,1405.3752136230469,0.4236004948616028,0.3062865138053894,549.7322988510132,1436.9355010986328,-0.0021426870953291655,0.8502437472343445,483.40981006622314,1709.3639373779297,0.6447937488555908,0.5046076774597168,505.15260100364685,1775.2318954467773,0.27130162715911865,0.8510420322418213,444.9049937725067,1759.3212890625,0.6584203243255615,0.6355985403060913,458.32193970680237,1831.5336227416992,0.2950623035430908,0.819814920425415
2,66.68439716312056,221.6702849699457,,137.70780420319207,,8.346250591570673,,178.89225351454715,,168.4940961586852,,145.44361573452025,179.98918645933207,,597.1657490730286,369.4483280181885,-0.1824815422296524,0.9991301894187927,459.7301959991455,553.1927490234375,0.22598323225975037,0.9967747330665588,470.0489330291748,564.0609741210938,-0.5232776999473572,0.9996984004974365,493.5688376426697,835.2520179748535,0.2918693721294403,0.03021763265132904,545.1507425308228,864.4976806640625,-0.4974084794521332,0.9668186902999878,649.9102306365967,978.098258972168,0.21172291040420532,0.050501950085163116,754.5725798606873,1004.0215301513672,-0.21937254071235657,0.86432945728302,507.93052196502686,1069.1705703735352,0.2138388752937317,0.9950058460235596,521.4195656776428,1079.7601318359375,-0.21413105726242065,0.9971649646759033,531.7484092712402,1402.8742218017578,0.4289790689945221,0.30992591381073,549.8304033279419,1434.3503952026367,0.0015233870362862945,0.8496718406677246,490.90192794799805,1704.6783828735352,0.645936906337738,0.512758195400238,508.4700644016266,1774.888916015625,0.2868046164512634,0.8518927693367004,452.2797918319702,1756.3062286376953,0.6590051054954529,0.6426697373390198,463.1344664096832,1826.1650848388672,0.3114261329174042,0.8206641674041748
3,100.02659574468086,227.07775854004234,,130.64296234006227,,10.074307028944881,,178.9322545828657,,167.90340694623134,,145.2162948384177,179.99128805956778,,602.0721960067749,369.47178840637207,-0.16604574024677277,0.9990574717521667,459.90049481391907,549.0530204772949,0.23702526092529297,0.9968239665031433,471.68094992637634,563.4490013122559,-0.5138057470321655,0.9996846318244934,503.77060890197754,815.7233047485352,0.3021746575832367,0.0298378374427557,549.2071437835693,857.2882461547852,-0.47370845079421997,0.9664250612258911,669.7267556190491,932.7637481689453,0.2176138311624527,0.05070161819458008,758.9077162742615,958.9457130432129,-0.18570232391357422,0.8642834424972534,500.5986285209656,1063.406982421875,0.21365496516227722,0.994802713394165,513.9278018474579,1076.678237915039,-0.2139337956905365,0.9969770312309265,532.1631324291229,1401.570167541504,0.42472273111343384,0.3115537762641907,549.8358750343323,1431.8214797973633,-0.0043077850714325905,0.8506717681884766,495.1687002182007,1701.657829284668,0.612546443939209,0.5183907151222229,512.024838924408,1773.0475616455078,0.2675231397151947,0.8530100584030151,457.7502107620239,1754.5525360107422,0.6220996975898743,0.6466167569160461,469.23065543174744,1822.0916748046875,0.291947603225708,0.8205384612083435
4,133.36879432624113,183.57673706872023,,126.24089311757847,,12.465061735052648,,176.84438508404352,,167.436236700638,,143.75598245975777,179.99241363923926,,608.4785342216492,367.9734134674072,-0.1441950500011444,0.9990168809890747,460.1896262168884,544.2054176330566,0.2628682255744934,0.9968684315681458,474.9205219745636,559.6753692626953,-0.5066383481025696,0.9996798038482666,523.8706004619598,800.8129119873047,0.33777284622192383,0.029743950814008713,556.0610032081604,841.2668609619141,-0.44121256470680237,0.9651793837547302,695.5564284324646,904.7924995422363,0.23903769254684448,0.05187682807445526,764.2950296401978,917.7441787719727,-0.11132587492465973,0.8628019094467163,495.48094153404236,1062.3297500610352,0.2143726348876953,0.9945812821388245,507.50012397766113,1076.1820220947266,-0.21461273729801178,0.9967780709266663,532.1906840801239,1401.5834426879883,0.4284796416759491,0.31250324845314026,549.6938037872314,1431.8837356567383,-0.004263579845428467,0.8527811169624329,496.4298963546753,1700.2061462402344,0.6169796586036682,0.5226743817329407,515.0811088085175,1772.7048110961914,0.26715144515037537,0.8540102243423462,458.83055090904236,1753.981590270996,0.6283476948738098,0.6484107971191406,470.78362226486206,1821.8281173706055,0.2912900745868683,0.8208428025245667
5,166.71099290780143,183.2534061471864,,127.11107717873153,,17.238039548033388,,174.77173233826812,,166.7605272422877,,142.29287873614334,179.991784928833,,614.1712331771851,368.32926750183105,-0.1391347497701645,0.9988999962806702,462.86226511001587,544.2815780639648,0.27713149785995483,0.9967986941337585,477.7092254161835,557.270565032959,-0.5066404342651367,0.9996681213378906,548.6828255653381,788.6123085021973,0.33932870626449585,0.02957739494740963,575.6781005859375,829.0652847290039,-0.44990915060043335,0.9626903533935547,726.2300419807434,891.1055374145508,0.22520442306995392,0.052711371332407,783.478832244873,893.7454032897949,-0.12881436944007874,0.8595160841941833,492.8961396217346,1062.9806900024414,0.2156299650669098,0.9940630793571472,501.124427318573,1076.1616516113281,-0.21581096947193146,0.9964279532432556,532.0179390907288,1401.606330871582,0.4275764524936676,0.31155672669410706,549.9577975273132,1432.0988845825195,-0.013922666199505329,0.8526568412780762,495.11102199554443,1700.6276321411133,0.6223572492599487,0.524840772151947,517.5026285648346,1773.691291809082,0.2567022442817688,0.8516956567764282,458.5362696647644,1756.299934387207,0.6339206695556641,0.648674488067627,471.6888999938965,1822.5897216796875,0.2806239128112793,0.8181189894676208
6,200.05319148936172,167.79717168121556,,127.93034716874548,,24.75532601277826,,172.61924512166146,,165.99764784642818,,145.71277122211552,179.99405981421893,,621.6479659080505,368.32640647888184,-0.1446796953678131,0.998920738697052,464.13134694099426,544.6572875976562,0.28636032342910767,0.9969035983085632,488.0947494506836,557.6969718933105,-0.5143307447433472,0.999666690826416,542.991156578064,790.2805137634277,0.3517898917198181,0.02963566966354847,620.2191424369812,831.3361358642578,-0.44045165181159973,0.9603238701820374,731.9022059440613,862.4771690368652,0.19686228036880493,0.05379381775856018,809.8283815383911,872.182731628418,-0.0801047831773758,0.855109691619873,483.7557828426361,1064.585952758789,0.2200530618429184,0.9938860535621643,497.3504626750946,1078.6498260498047,-0.22003962099552155,0.9962239265441895,531.834282875061,1409.67041015625,0.4336337745189667,0.3148510754108429,551.4585900306702,1445.130615234375,-0.01746203564107418,0.8568456172943115,494.2122459411621,1703.7127304077148,0.6433547139167786,0.5313493609428406,518.6287701129913,1779.730339050293,0.2514238655567169,0.8526498079299927,457.82951831817627,1760.134162902832,0.6557925939559937,0.652457594871521,471.9473898410797,1835.5785369873047,0.274566113948822,0.819484531879425
7,233.395390070922,187.8924417306601,,121.22730829639491,,30.346285761182777,,170.288975950702,,166.38518769271937,,146.54434793508216,179.99562206310532,,629.4512629508972,373.6461067199707,-0.14776457846164703,0.9989703893661499,465.47407150268555,545.5756187438965,0.29143479466438293,0.9970617890357971,498.87890338897705,561.5241622924805,-0.514244794845581,0.9996697902679443,573.3792114257812,789.0000343322754,0.3631479740142822,0.031162196770310402,658.6374092102051,841.974048614502,-0.43408888578414917,0.9595782160758972,750.8361124992371,837.1345710754395,0.17966517806053162,0.0595749169588089,825.4169511795044,846.5139770507812,-0.10540823638439178,0.8584645390510559,474.6079909801483,1066.5387725830078,0.2231500893831253,0.9939315915107727,492.6960039138794,1083.8068771362305,-0.22302643954753876,0.9961662292480469,531.316112279892,1415.3034210205078,0.4367751479148865,0.3164607584476471,551.6179776191711,1454.4532012939453,-0.016585316509008408,0.8617249727249146,494.1476798057556,1707.2613143920898,0.652513861656189,0.5368303656578064,525.153876543045,1784.6660614013672,0.2502557933330536,0.8562253713607788,457.6958155632019,1763.1099700927734,0.6661613583564758,0.6557542681694031,479.2073142528534,1843.3953094482422,0.2730046212673187,0.8254188895225525
8,266.73758865248226,232.21645617287749,,112.62982705531522,,35.86481560523355,,166.54311141415118,,165.20042730957556,,147.64762741894614,179.99694135915905,,637.6187825202942,376.9043827056885,-0.1615307629108429,0.9990342259407043,470.1353859901428,547.6100921630859,0.2917405664920807,0.9972571730613708,514.972608089447,575.8387184143066,-0.5312700867652893,0.9996798634529114,601.2833046913147,788.8942337036133,0.37332600355148315,0.033828698098659515,691.3142466545105,851.8191146850586,-0.4378823935985565,0.9597281217575073,772.1460270881653,822.1689033508301,0.15791752934455872,0.06861873716115952,837.7253293991089,826.1417198181152,-0.09233016520738602,0.8641221523284912,466.0954964160919,1068.844985961914,0.2285977005958557,0.9942331314086914,485.4837477207184,1089.188117980957,-0.22834481298923492,0.9962847232818604,530.8760905265808,1416.4291763305664,0.44988152384757996,0.31460025906562805,551.7355871200562,1458.5394287109375,-0.003922304604202509,0.8667730093002319,494.7654354572296,1707.6924133300781,0.6842262744903564,0.5390084385871887,525.2452862262726,1785.6139755249023,0.2721490263938904,0.8607261180877686,456.625839471817,1763.0256271362305,0.7006474733352661,0.6570413708686829,478.7328851222992,1847.376708984375,0.2949637472629547,0.8324887752532959
9,300.07978723404256,245.63187645346173,,104.67573764954408,,38.93169444022126,,164.54625532711722,,164.75284154584338,,147.83598219867164,179.99745579679325,,646.6653800010681,389.11943435668945,-0.17727451026439667,0.9991036653518677,470.2345848083496,548.5654449462891,0.28702545166015625,0.9974424839019775,520.994188785553,587.0454597473145,-0.5361186861991882,0.9996931552886963,610.3817868232727,791.9732093811035,0.37304452061653137,0.03929559886455536,706.7377638816833,859.9089431762695,-0.4349271357059479,0.960563600063324,776.1564016342163,803.0197906494141,0.1650133579969406,0.08486159145832062,842.8500652313232,811.5267562866211,-0.07940781116485596,0.8709889054298401,455.27191400527954,1069.1252517700195,0.23291423916816711,0.9944693446159363,479.6730852127075,1090.9576034545898,-0.2325931340456009,0.9964203238487244,530.3588855266571,1416.0050582885742,0.4733400344848633,0.3134828507900238,550.0132870674133,1460.888328552246,0.0009849838679656386,0.8731309175491333,499.0016305446625,1700.2894592285156,0.7197051644325256,0.5397417545318604,524.5028078556061,1786.3941192626953,0.27068305015563965,0.8674441576004028,460.36584734916687,1752.0342636108398,0.7380653023719788,0.6572816371917725,478.92378330230713,1847.6652145385742,0.29404619336128235,0.8409567475318909
